dut_id:5B031FDDX00004 result:PASS time:49.401 device_config: EM17-GB2R-ESS10 station_id: 4CS4_FVN-E2F3-G01_FATP-AUDIO_BJ26A-02
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,46.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,27.0,NA , NA,NA , NA
DeviceInit,connection_type,"""WIFI""",'x' is not None
analyze_mic_filters,fit-time,1.0685392000013962,NA , NA,NA , NA
analyze_mic_filters,mic-1_mean-error,0.4575811411091823,NA , NA,NA , NA
analyze_mic_filters,mic-1_rms-error,0.6873120730126483,NA , NA,NA , NA
analyze_mic_filters,mic-1_max-error,2.4940742828513933,NA , NA,NA , NA
analyze_mic_filters,mic-1_max-error-freq,11800.0,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-1-freq,8409.0,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-1-gain,-2.08,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-1-qual,3.3,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-2-freq,10623.0,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-2-gain,-6.5,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-2-qual,3.9,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-3-freq,11812.0,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-3-gain,-11.64,NA , NA,NA , NA
analyze_mic_filters,mic-1_filter-3-qual,6.0,NA , NA,NA , NA
analyze_mic_filters,mic-1_validation-status,"""fallback""",'x' is not None
analyze_mic_filters,mic-1_fr_predicted_00100.0,-37.769,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00106.0,-37.567,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00112.0,-37.397,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00118.0,-37.315,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00125.0,-37.221,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00132.0,-37.171,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00140.0,-37.175,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00150.0,-37.177,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00160.0,-37.172,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00170.0,-37.152,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00180.0,-37.112,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00190.0,-37.07,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00200.0,-37.027,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00212.0,-36.978,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00224.0,-36.929,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00236.0,-36.881,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00250.0,-36.831,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00265.0,-36.787,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00280.0,-36.755,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00300.0,-36.722,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00315.0,-36.699,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00335.0,-36.675,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00355.0,-36.665,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00375.0,-36.655,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00400.0,-36.63,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00425.0,-36.604,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00450.0,-36.596,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00475.0,-36.592,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00500.0,-36.582,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00530.0,-36.583,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00560.0,-36.592,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00600.0,-36.577,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00630.0,-36.59,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00670.0,-36.598,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00710.0,-36.585,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00750.0,-36.598,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00800.0,-36.605,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00850.0,-36.625,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00900.0,-36.633,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_00950.0,-36.625,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01000.0,-36.621,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01060.0,-36.613,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01120.0,-36.588,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01180.0,-36.597,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01250.0,-36.577,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01320.0,-36.649,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01400.0,-36.778,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01500.0,-36.749,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01600.0,-36.646,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01700.0,-36.677,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01800.0,-36.96,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_01900.0,-36.755,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_02000.0,-36.823,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_02120.0,-36.688,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_02240.0,-36.701,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_02360.0,-36.902,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_02500.0,-36.928,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_02650.0,-36.784,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_02800.0,-36.879,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_03000.0,-37.084647878748285,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_03150.0,-36.73958704665292,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_03350.0,-36.682697611906974,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_03550.0,-37.925964156335326,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_03750.0,-37.60572678255686,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_04000.0,-36.700957840112636,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_04250.0,-36.875207162101596,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_04500.0,-37.19761772736063,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_04750.0,-37.17660575255772,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_05000.0,-37.022942095965114,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_05300.0,-36.622715535351276,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_05600.0,-37.107158593053505,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_06000.0,-37.22907232783963,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_06300.0,-36.434531027778824,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_06700.0,-36.42225835368214,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_07100.0,-36.16508559551996,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_07500.0,-36.519644952863885,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_08000.0,-37.26204067483291,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_08500.0,-37.1168186324557,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_09000.0,-36.60646347324375,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_09500.0,-36.416350430065094,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_10000.0,-36.97591815212115,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_10600.0,-36.749751836195145,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_11200.0,-36.355641728115536,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_11800.0,-34.12692571714861,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_12500.0,-28.641,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_13200.0,-17.16,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_14000.0,-19.476,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_15000.0,-20.388,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_16000.0,-19.059,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_17000.0,-19.787,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_18000.0,-22.387,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_19000.0,-22.617,NA , NA,NA , NA
analyze_mic_filters,mic-1_fr_predicted_20000.0,-23.431,NA , NA,NA , NA
analyze_mic_filters,mic-2_mean-error,0.23540410713933047,NA , NA,NA , NA
analyze_mic_filters,mic-2_rms-error,0.2866380165856732,NA , NA,NA , NA
analyze_mic_filters,mic-2_max-error,0.6849982798037999,NA , NA,NA , NA
analyze_mic_filters,mic-2_max-error-freq,4750.0,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-1-freq,6261.699911553148,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-1-gain,-3.032056338356415,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-1-qual,1.086353776823926,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-2-freq,8153.619322185941,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-2-gain,-4.772309456722367,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-2-qual,2.9697510150967568,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-3-freq,9999.999999999998,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-3-gain,-6.414307088458778,NA , NA,NA , NA
analyze_mic_filters,mic-2_filter-3-qual,5.999999999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_validation-status,"""solver""",'x' is not None
analyze_mic_filters,mic-2_fr_predicted_00100.0,-38.479,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00106.0,-38.13199999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00112.0,-37.894,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00118.0,-37.84199999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00125.0,-37.91499999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00132.0,-37.99699999999998,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00140.0,-38.05200000000001,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00150.0,-38.105999999999995,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00160.0,-38.081,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00170.0,-38.05799999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00180.0,-38.07000000000001,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00190.0,-38.03300000000001,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00200.0,-37.94500000000001,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00212.0,-37.929,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00224.0,-37.878000000000014,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00236.0,-37.836,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00250.0,-37.849,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00265.0,-37.81099999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00280.0,-37.74599999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00300.0,-37.742999999999995,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00315.0,-37.71900000000001,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00335.0,-37.63499999999999,NA , NA,NA , NA
analyze_mic_filters,mic-2_fr_predicted_00355.0,-37.629999999999995,NA , NA,NA , NA
