dut_id:5C291FDKY000BY result:PASS time:41.975 device_config: FM17-UB2N station_id: 4CS4_FVN-E2F3-G01_FATP-RF-CELL_BJ26A-01
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
station_info,station_info_latest_calibration_dut,"""5C291FDKY0005H""",'x' matches .*
station_info,station_info_latest_calibration_time,"""2026-02-02 18:36:16""",'x' matches .*
station_info,station_info_latest_calibration_result,"""PASS""",'x' matches .*
station_info,station_info_test_config_yaml,"""FATP_RF_CELL_FC_AOW_LOOP.yaml""",'x' matches .*
station_info,station_info_station_loss_file,"""MMW_fatp_station_loss.csv""",'x' matches .*
station_info,station_info_station_loss_offset_file,"""Not found""",'x' matches .*
station_info,station_info_dut_connection_type,"""WIFI""",'x' matches .*
equip_info,equip_info_rf_equip_manufacturer,"""Rohde&Schwarz""",'x' matches .*
equip_info,equip_info_rf_equip_model,"""CMW""",'x' matches .*
equip_info,equip_info_rf_equip_serial_number,"""1201.0002k06/101060""",'x' matches .*
equip_info,equip_info_rf_equip_software_options,"""K046,K046,K046,K046,K108,KM011,KM011,KM011,KM011,KM012,KM012,KM012,KM012,KM200,KM200,KM200,KM200,KM201,KM201,KM201,KM201,KM400,KM400,KM400,KM400,KM401,KM401,KM401,KM401,KM403,KM403,KM403,KM403,KM500,KM500,KM500,KM500,KM550,KM550,KM550,KM550,KM800,KM800,KM800,KM800,KM880,KM880,KM880,KM880,KT960,KV110,KV110,KV110,KV110""",'x' matches .*
equip_info,equip_info_rf_equip_hardware_options,"""CMW-H16E,KM200,KM400,KM500,KM800,KM880""",'x' matches .*
equip_info,equip_info_rf_equip_software_version,"""3.8.17""",'x' matches .*
equip_info,equip_info_rf_equip_temperature_degC,42.6625,0.0 , 100.0
dut_info,dut_info_model,"""cubs""",'x' matches .*
dut_info,dut_info_sub_model,"""MMWAVE""",'x' matches .*
dut_info,dut_info_software_version,"""CFY1.251029.047""",'x' matches .*
dut_info,dut_info_build_number,"""14674150""",'x' matches .*
dut_info,dut_info_hardware_version,"""EVT1.1""",'x' matches .*
dut_info,dut_info_chip_version,"""2""",'x' matches .*
dut_info,dut_info_sku,"""MMW""",'x' matches .*
wifi_info,wifi_info_SSID,"""4CS4-G01-CELL-01""",'x' is not None
wifi_info,wifi_info_freq,"""5660""",'x' is not None
wifi_info,wifi_info_RSSI,"""-31""",'x' is not None
initial_dut_temperature,initial_dut_temperature_battery_temp,30.5,0.0 , 100.0
dut_init,dut_init_modem_sw_version,"""a900a-CCP_251218-251223-F-14632300""",'x' matches .*
dut_init,dut_init_status,0,0.0 , 0.0
recover_antenna_tune_code_to_default,recover_antenna_tune_code_to_default_status,0,0.0 , 0.0
LTE_instrument_init,LTE_instrument_init_status,0,0.0 , 0.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CB0H_RA1_600.0MHz,20.0,0.0 , 100.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CB0H_RA1_6000.0MHz,20.0,0.0 , 100.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CB0V_RA1_600.0MHz,20.0,0.0 , 100.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CB0V_RA1_6000.0MHz,20.0,0.0 , 100.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CBFH_RA1_600.0MHz,20.0,0.0 , 100.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CBFH_RA1_6000.0MHz,20.0,0.0 , 100.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CBFV_RA1_600.0MHz,20.0,0.0 , 100.0
LTE_instrument_init,RF_path_loss_LTE_RX_Ant0_CBFV_RA1_6000.0MHz,20.0,0.0 , 100.0
